ลําดับ,วันที่ตอบรับสมาชิก,รหัสสมาชิก,ชื่อสถานศึกษา,สังกัด,ตําบล/แขวง,อําเภอ /เขต,จังหวัด,รหัสไปรษณีย์
588,ปี 2568,7-50310-007,โรงเรียนบ้านทุ่งจําเริง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลอมก๋อย,อําเภออมก๋อย,เชียงใหม่,50310
589,ปี 2568,7-50310-008,โรงเรียนบ้านแม่ต้อม,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลอมก๋อย,อําเภออมก๋อย,เชียงใหม่,50310
590,ปี 2568,7-50310-009,โรงเรียนบ้านแม่อ่างขาง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลอมก๋อย,อําเภออมก๋อย,เชียงใหม่,50310
591,ปี 2568,7-50310-010,โรงเรียนอมก๋อยวิทยาคม,สํานักงานเขตพื้นที่การศึกษามัธยมศึกษาเชียงใหม่,ตําบลอมก๋อย,อําเภออมก๋อย,เชียงใหม่,50310
592,ปี 2568,7-50310-011,โรงเรียนชุมชนบ้านอมก๋อย สาขา บ้านสะบอมแฮด,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลอมก๋อย,อําเภออมก๋อย,เชียงใหม่,50310
593,ปี 2568,7-50310-012,โรงเรียนบ้านนาไคร้,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลยางเปียง,อําเภออมก๋อย,เชียงใหม่,50310
594,ปี 2568,7-50310-013,โรงเรียนบ้านสบลาน,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลยางเปียง,อําเภออมก๋อย,เชียงใหม่,50310
595,ปี 2568,7-50310-014,โรงเรียนบ้านห้วยโค้ง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลยางเปียง,อําเภออมก๋อย,เชียงใหม่,50310
596,ปี 2568,7-50310-015,โรงเรียนตรีมิตรวิทยา,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลม่อนจอง,อําเภออมก๋อย,เชียงใหม่,50310
597,ปี 2568,7-50310-016,โรงเรียนบ้านยางครก,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลยางเปียง,อําเภออมก๋อย,เชียงใหม่,50310
598,ปี 2568,7-50310-017,โรงเรียนบ้านนาเกียน,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลนาเกียน,อําเภออมก๋อย,เชียงใหม่,50260
599,ปี 2568,7-50310-018,โรงเรียนบ้านห้วยหล่อดูก,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลแม่ตื่น,อําเภออมก๋อย,เชียงใหม่,50310
600,ปี 2568,7-50310-019,โรงเรียนบ้านห่างหลวง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลนาเกียน,อําเภออมก๋อย,เชียงใหม่,50310
601,ปี 2568,7-50310-020,โรงเรียนบ้านตุงลอย,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลอมก๋อย,อําเภออมก๋อย,เชียงใหม่,50240
602,ปี 2568,7-50310-021,โรงเรียนบ้านห้วยปูลิง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลม่อนจอง,อําเภออมก๋อย,เชียงใหม่,50310
603,ปี 2568,7-50310-022,โรงเรียนบ้านห้วยน้ำขาว,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลม่อนจอง,อําเภออมก๋อย,เชียงใหม่,50310
604,ปี 2568,7-50310-023,โรงเรียนบ้านแม่สะเต,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลนาเกียน,อําเภออมก๋อย,เชียงใหม่,50310
605,ปี 2568,7-50310-024,โรงเรียนบ้านใบหนา,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลนาเกียน,อําเภออมก๋อย,เชียงใหม่,50310
606,ปี 2568,7-50310-025,โรงเรียนชุมชนบ้านอมก๋อย,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลอมก๋อย,อําเภออมก๋อย,เชียงใหม่,50310
607,ปี 2568,7-50310-026,โรงเรียนบ้านอูตูม,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลนาเกียน,อําเภออมก๋อย,เชียงใหม่,50310
608,ปี 2568,7-50310-027,โรงเรียนบ้านแม่ตื่น,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลแม่ตื่น,อําเภออมก๋อย,เชียงใหม่,50310
609,ปี 2568,7-50310-028,โรงเรียนบ้านชุมชนแม่ตื่น,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลแม่ตื่น,อําเภออมก๋อย,เชียงใหม่,50310
610,ปี 2568,7-50310-029,โรงเรียนบ้านแม่หลองน้อย,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลแม่หลอง,อําเภออมก๋อย,เชียงใหม่,50310
611,ปี 2568,7-50310-030,โรงเรียนบ้านหลวง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลยางเปียง,อําเภออมก๋อย,เชียงใหม่,50310
612,ปี 2568,7-50310-031,โรงเรียนบ้านยางเปียง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลยางเปียง,อําเภออมก๋อย,เชียงใหม่,50310
613,ปี 2568,7-50310-032,โรงเรียนบ้านชิแบร,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลแม่ตื่น,อําเภออมก๋อย,เชียงใหม่,50310
614,ปี 2568,7-50310-033,โรงเรียนบ้านแม่โขง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลนาเกียน,อําเภออมก๋อย,เชียงใหม่,50310
615,ปี 2568,7-50310-033/016-ตชด.,โรงเรียนตํารวจตระเวนชายแดน ท่านผู้หญิงประไพ ศิวะโกเศศ,กองกํากับการตํารวจตระเวนชายแดนที่ 33,ตําบลแม่หลอง,อําเภออมก๋อย,เชียงใหม่,50310
616,ปี 2568,7-50310-033/017-ตชด.,โรงเรียนตํารวจตระเวนชายแดน บางกอก เซฟ แชร์ริตี้,กองกํากับการตํารวจตระเวนชายแดนที่ 33,ตําบลแม่หลอง,อําเภออมก๋อย,เชียงใหม่,50310
617,ปี 2561,7-50310-033/04-ตชด.,โรงเรียนตํารวจตระเวนชายแดน รางวัลอินทิรา คานธี,กองกํากับการตํารวจตระเวนชายแดนที่ 33,ตําบลแม่ตื่น,อําเภออมก๋อย,เชียงใหม่,50310
618,ปี 2568,7-50310-034,โรงเรียนบ้านผีปานเหนือ,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลนาเกียน,อําเภออมก๋อย,เชียงใหม่,50310
619,ปี 2568,7-50310-035,โรงเรียนบ้านขุนตื่น,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลแม่หลอง,อําเภออมก๋อย,เชียงใหม่,50310
620,ปี 2568,7-50310-036,โรงเรียนบ้านยางเปา,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลอมก๋อย,อําเภออมก๋อย,เชียงใหม่,50310
621,ปี 2568,7-50310-037,โรงเรียนบ้านยางแก้ว,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลอมก๋อย,อําเภออมก๋อย,เชียงใหม่,50310
622,ปี 2568,7-50310-038,โรงเรียนบ้านมูเซอ,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลม่อนจอง,อําเภออมก๋อย,เชียงใหม่,50310
623,ปี 2569,7-50310-039,โรงเรียนบ้านแม่ลานหลวงสาขา ดอยซาง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลยางเปียง,อําเภออมก๋อย,เชียงใหม่,50310
624,ปี 2544,7-50320-001,โรงเรียนอนุบาลเอื้อวิทยา,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลปงตํา,อําเภอไชยปราการ,เชียงใหม่,50320
625,ปี 2556,7-50320-002,โรงเรียนบ้านหลวง (อ.ฝาง),สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่งอน,อําเภอฝาง,เชียงใหม่,50320
626,ปี 2557,7-50320-003,โรงเรียนเทศบาล 1 ไชยปราการ,กรมส่งเสริมการปกครองท้องถิ่น,ตําบลปงตํา,อําเภอไชยปราการ,เชียงใหม่,50320
627,ปี 2561,7-50320-004,โรงเรียนบ้านถ้ําตับเตา,กรมส่งเสริมการปกครองท้องถิ่น,ตําบลแม่งอน,อําเภอฝาง,เชียงใหม่,50320
628,ปี 2561,7-50320-005,โรงเรียนบ้านแม่งอนขี้เหล็ก,กรมส่งเสริมการปกครองท้องถิ่น,ตําบลศรีดงเย็น,อําเภอไชยปราการ,เชียงใหม่,50320
629,ปี 2562,7-50320-006,โรงเรียนบ้านแม่งอนกลาง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่งอน,อําเภอฝาง,เชียงใหม่,50320
630,ปี 2562,7-50320-007,โรงเรียนบ้านหล่ายฝาง,กรมส่งเสริมการปกครองท้องถิ่น,ตําบลแม่ข่า,อําเภอฝาง,เชียงใหม่,50320
631,ปี 2563,7-50320-008,โรงเรียนอนุบาลแม่แวน,กรมส่งเสริมการปกครองท้องถิ่น,ตําบลแม่แวน,อําเภอพร้าว,เชียงใหม่,50320
632,ปี 2563,7-50320-009,โรงเรียนบ้านหัวฝาย,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลศรีดงเย็น,อําเภอไชยปราการ,เชียงใหม่,50320
633,ปี 2564,7-50320-010,ศูนย์ส่งเสริมการเรียนรู้ระดับอําเภอไชยปราการ,สํานักงานส่งเสริมการเรียนรู้ประจําจังหวัดเชียงใหม่ (สกร.),ตําบลปงตํา,อําเภอไชยปราการ,เชียงใหม่,50320
634,ปี 2568,7-50320-011,โรงเรียนบ้านทุ่งหลุก,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่งอน,อําเภอฝาง,เชียงใหม่,50320
635,ปี 2568,7-50320-012,โรงเรียนบ้านต้นโชค,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลหนองบัว,อําเภอไชยปราการ,เชียงใหม่,50320
636,ปี 2568,7-50320-013,โรงเรียนชุมชนวัดศรีดงเย็น,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลศรีดงเย็น,อําเภอไชยปราการ,เชียงใหม่,50320
637,ปี 2568,7-50320-014,โรงเรียนบ้านป่างิ้ว,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่ทะลบ,อําเภอไชยปราการ,เชียงใหม่,50320
638,ปี 2568,7-50320-015,โรงเรียนฉัตรพฤกษ์วิทยา,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลศรีดงเย็น,อําเภอไชยปราการ,เชียงใหม่,50320
639,ปี 2568,7-50320-016,โรงเรียนไชยปราการ,สํานักงานเขตพื้นที่การศึกษามัธยมศึกษาเชียงใหม่,ตําบลหนองบัว,อําเภอไชยปราการ,เชียงใหม่,50320
640,ปี 2568,7-50320-017,โรงเรียนอนุบาลเทศบาลตําบลบ้านแม่ข่า,กรมส่งเสริมการปกครองท้องถิ่น,ตําบลแม่ข่า,อําเภอฝาง,เชียงใหม่,50320
641,ปี 2568,7-50320-018,โรงเรียนเทพศิรินทร์ 9 โครงการหลวงในพระบรมราชูปถัมภ์,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่งอน,อําเภอฝาง,เชียงใหม่,50320
642,ปี 2568,7-50320-019,โรงเรียนบ้านหนองขวาง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่งอน,อําเภอฝาง,เชียงใหม่,50320
643,ปี 2569,7-50320-020,โรงเรียนบ้านยาง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่งอน,อําเภอฝาง,เชียงใหม่,50320
644,ปี 2569,7-50320-021,โรงเรียนบ้านห้วยไผ่,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลหนองบัว,อําเภอไชยปราการ,เชียงใหม่,50320
645,ปี 2569,7-50320-022,โรงเรียนบ้านเด่นใหม่,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่ข่า,อําเภอฝาง,เชียงใหม่,50320
646,ปี 2569,7-50320-023,โรงเรียนวัดป่าแดง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลแม่ทะลบ,อําเภอไชยปราการ,เชียงใหม่,50320
647,ปี 2551,7-50330-001,โรงเรียนบ้านเมืองก๊ะ,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลสะลวง,อําเภอแม่ริม,เชียงใหม่,50330
648,ปี 2556,7-50330-002,โรงเรียนบ้านสะลวงนอก,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลสะลวง,อําเภอแม่ริม,เชียงใหม่,50330
649,ปี 2557,7-50330-003,โรงเรียนสันป่ายางวิทยาคม,สํานักงานเขตพื้นที่การศึกษามัธยมศึกษาเชียงใหม่,ตําบลสันป่ายาง,อําเภอแม่แตง,เชียงใหม่,50330
650,ปี 2568,7-50330-004,โรงเรียนเชียงใหม่มัธยม,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลสบเปิง,อําเภอแม่แตง,เชียงใหม่,50330
651,ปี 2568,7-50330-005,โรงเรียนสันป่ายางวิทยาคาร,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลสันป่ายาง,อําเภอแม่แตง,เชียงใหม่,50330
652,ปี 2568,7-50330-006,โรงเรียนสบเปิงวิทยา,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลสบเปิง,อําเภอแม่แตง,เชียงใหม่,50330
653,ปี 2568,7-50330-007,โรงเรียนบ้านกาดฮาว,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลสะลวง,อําเภอแม่ริม,เชียงใหม่,50330
654,ปี 2568,7-50330-008,โรงเรียนวัดท่าข้าม,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 2,ตําบลสบเปิง,อําเภอแม่แตง,เชียงใหม่,50330
655,ปี 2562,7-50350-001,โรงเรียนบ้านห้วยไคร้,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลเปียงหลวง,อําเภอเวียงแหง,เชียงใหม่,50350
656,ปี 2562,7-50350-002,ศูนย์ส่งเสริมการเรียนรู้ระดับอําเภอเวียงแหง,สํานักงานส่งเสริมการเรียนรู้ประจําจังหวัดเชียงใหม่ (สกร.),ตําบลเมืองแหง,อําเภอเวียงแหง,เชียงใหม่,50350
657,ปี 2563,7-50350-003,โรงเรียนบ้านเวียงแหง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลเมืองแหง,อําเภอเวียงแหง,เชียงใหม่,50350
658,ปี 2563,7-50350-004,โรงเรียนบ้านเปียงหลวง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลเปียงหลวง,อําเภอเวียงแหง,เชียงใหม่,50350
659,ปี 2568,7-50350-005,โรงเรียนเวียงแหงวิทยาคม,สํานักงานเขตพื้นที่การศึกษามัธยมศึกษาเชียงใหม่,ตําบลเมืองแหง,อําเภอเวียงแหง,เชียงใหม่,50350
660,ปี 2568,7-50350-006,โรงเรียนบ้านปางป๋อ,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลแสนไห,อําเภอเวียงแหง,เชียงใหม่,50350
661,ปี 2568,7-50350-007,โรงเรียนบ้านม่วงป็อก,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลแสนไห,อําเภอเวียงแหง,เชียงใหม่,50350
662,ปี 2569,7-50350-008,โรงเรียนรัฐราษฎร์อุปถัมภ์,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 3,ตําบลเปียงหลวง,อําเภอเวียงแหง,เชียงใหม่,50350
663,ปี 2553,7-50350-033/08-ตชด.,โรงเรียนตํารวจตระเวนชายแดน เบญจมะ 1,กองกํากับการตํารวจตระเวนชายแดนที่ 33,ตําบลเมืองแหง,อําเภอเวียงแหง,เชียงใหม่,50350
664,ปี 2557,7-50360-001,โรงเรียนบ้านกาดวิทยาคม,สํานักงานเขตพื้นที่การศึกษามัธยมศึกษาเชียงใหม่,ตําบลดอนเปา,อําเภอแม่วาง,เชียงใหม่,50360
665,ปี 2558,7-50360-002,โรงเรียนหลวงพัฒนาบ้านขุนวาง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 4,ตําบลแม่วิน,อําเภอแม่วาง,เชียงใหม่,50360
666,ปี 2562,7-50360-003,โรงเรียนบ้านห้วยตอง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 4,ตําบลแม่วิน,อําเภอแม่วาง,เชียงใหม่,50360
667,ปี 2568,7-50360-004,โรงเรียนพัฒนาต้นน้ำที่ 5 ขุนวาง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 4,ตําบลแม่วิน,อําเภอแม่วาง,เชียงใหม่,50360
668,ปี 2562,7-50360-005,โรงเรียนเทศบาลวัดดอนเปา,กรมส่งเสริมการปกครองท้องถิ่น,ตําบลดอนเปา,อําเภอแม่วาง,เชียงใหม่,50360
669,ปี 2562,7-50360-006,ศูนย์ส่งเสริมการเรียนรู้ระดับอําเภอแม่วาง,สํานักงานส่งเสริมการเรียนรู้ประจําจังหวัดเชียงใหม่ (สกร.),ตําบลบ้านกาด,อําเภอแม่วาง,เชียงใหม่,50360
670,ปี 2567,7-50360-007,โรงเรียนบ้านกาด (เขมวังส์ราษฎร์รังสฤษฎิ์),สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 4,ตําบลบ้านกาด,อําเภอแม่วาง,เชียงใหม่,50360
671,ปี 2568,7-50360-008,โรงเรียนสโมสรไลออนส์รัตนโกสินทร์,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 4,ตําบลแม่วิน,อําเภอแม่วาง,เชียงใหม่,50360
672,ปี 2562,7-58130-004,ศูนย์ส่งเสริมการเรียนรู้ระดับกัลยาณิวัฒนา,สํานักงานส่งเสริมการเรียนรู้ประจําจังหวัดเชียงใหม่ (สกร.),ตําบลบ้านจันทร์,อําเภอกัลยาณิวัฒนา,เชียงใหม่,58130
673,ปี 2568,7-58130-008,โรงเรียนมัธยมกัลยาณิวัฒนาเฉลิมพระเกียรติ,สํานักงานเขตพื้นที่การศึกษามัธยมศึกษาเชียงใหม่,ตําบลบ้านจันทร์,อําเภอกัลยาณิวัฒนา,เชียงใหม่,58130
674,ปี 2568,7-58130-009,โรงเรียนบ้านแจ่มหลวง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตําบลแจ่มหลวง,อําเภอกัลยาณิวัฒนา,เชียงใหม่,58130
675,ปี 2568,7-58130-010,โรงเรียนบ้านจันทร์,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตําบลบ้านจันทร์,อําเภอกัลยาณิวัฒนา,เชียงใหม่,58130
676,ปี 2568,7-58130-011,โรงเรียนบ้านจันทร์ สาขาบ้านแจ่มน้อย,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตําบลบ้านจันทร์,อําเภอกัลยาณิวัฒนา,เชียงใหม่,58130
677,ปี 2568,7-58130-012,โรงเรียนบ้านแม่ตะละ,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตําบลแม่แดด,อําเภอกัลยาณิวัฒนา,เชียงใหม่,58130
678,ปี 2568,7-58130-013,โรงเรียนบ้านห้วยยา,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตําบลแจ่มหลวง,อําเภอกัลยาณิวัฒนา,เชียงใหม่,58130
679,ปี 2568,7-58130-014,โรงเรียนบ้านห้วยปู สาขาแม่ละใต้,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตําบลแม่แดด,อําเภอกัลยาณิวัฒนา,เชียงใหม่,58130
680,ปี 2568,7-58130-015,โรงเรียนบ้านขุนแม่รวม,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตําบลแจ่มหลวง,อําเภอกัลยาณิวัฒนา,เชียงใหม่,58130
681,ปี 2568,7-58130-016,โรงเรียนสามัคคีสันม่วง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 5,ตําบลบ้านจันทร์,อําเภอกัลยาณิวัฒนา,เชียงใหม่,58130
682,ปี 2568,7-58130-017,โรงเรียนบ้านแม่ตะละเหนือ,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตําบลแม่แดด,อําเภอกัลยาณิวัฒนา,เชียงใหม่,58130
683,ปี 2568,7-58130-019,โรงเรียนบ้านห้วยปู,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตําบลแม่แดด,อําเภอกัลยาณิวัฒนา,เชียงใหม่,58130
684,ปี 2568,7-58130-020,โรงเรียนบ้านแม่แดดน้อย สาขาดงสามหมื่น,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตําบลแม่แดด,อําเภอกัลยาณิวัฒนา,เชียงใหม่,58130
685,ปี 2568,7-58130-021,โรงเรียนบ้านแม่แดดน้อย,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 6,ตําบลแม่แดด,อําเภอกัลยาณิวัฒนา,เชียงใหม่,58130
